Feature,Feature Systematic Name,Feature Type,Coordinates,Start,End,Strand,essential_or_not,Feature Systematic Name
AIM2,YAL049C,ORF,51855-52595,51855,52595,-,not essential,YAL049C
GEM1,YAL048C,ORF,52801-54789,52801,54789,-,not essential,YAL048C
YAL047W-A,YAL047W-A,ORF,54584-54913,54584,54913,+,not essential,YAL047W-A
SPC72,YAL047C,ORF,54989-56857,54989,56857,-,not essential,YAL047C
BOL3,YAL046C,ORF,57029-57385,57029,57385,-,not essential,YAL046C
YAL045C,YAL045C,ORF,57488-57796,57488,57796,-,not essential,YAL045C
BOL1,YAL044W-A,ORF,57518-57850,57518,57850,+,not essential,YAL044W-A
GCV3,YAL044C,ORF,57950-58462,57950,58462,-,not essential,YAL044C
PTA1,YAL043C,ORF,58695-61052,58695,61052,-,essential,YAL043C
YAL042C-A,YAL042C-A,ORF,61231-61608,61231,61608,-,not essential,YAL042C-A
ERV46,YAL042W,ORF,61316-62563,61316,62563,+,not essential,YAL042W
CDC24,YAL041W,ORF,62840-65404,62840,65404,+,essential,YAL041W
CLN3,YAL040C,ORF,65778-67520,65778,67520,-,not essential,YAL040C
CYC3,YAL039C,ORF,68716-69525,68716,69525,-,not essential,YAL039C
ARS106,ARS106,ARS,70300-70469,70300,70469,0,not essential,ARS106
CDC19,YAL038W,ORF,71786-73288,71786,73288,+,essential,YAL038W
YAL037C-B,YAL037C-B,ORF,72326-73300,72326,73300,-,not essential,YAL037C-B
YAL037C-A,YAL037C-A,ORF,73426-73518,73426,73518,-,not essential,YAL037C-A
YAL037W,YAL037W,ORF,74020-74823,74020,74823,+,not essential,YAL037W
RBG1,YAL036C,ORF,75043-76152,75043,76152,-,not essential,YAL036C
FUN12,YAL035W,ORF,76427-79435,76427,79435,+,not essential,YAL035W
YAL034C-B,YAL034C-B,ORF,79489-79842,79489,79842,-,not essential,YAL034C-B
MTW1,YAL034W-A,ORF,79718-80587,79718,80587,+,essential,YAL034W-A
FUN19,YAL034C,ORF,80710-81951,80710,81951,-,not essential,YAL034C
POP5,YAL033W,ORF,82706-83227,82706,83227,+,essential,YAL033W
PRP45,YAL032C,ORF,83335-84474,83335,84474,-,essential,YAL032C
YAL031W-A,YAL031W-A,ORF,84669-84977,84669,84977,+,not essential,YAL031W-A
GIP4,YAL031C,ORF,84749-87031,84749,87031,-,not essential,YAL031C
SNC1,YAL030W,ORF,87286-87752,87286,87752,+,not essential,YAL030W
MYO4,YAL029C,ORF,87855-92270,87855,92270,-,not essential,YAL029C
FRT2,YAL028W,ORF,92900-94486,92900,94486,+,not essential,YAL028W
SAW1,YAL027W,ORF,94687-95472,94687,95472,+,not essential,YAL027W
YAL026C-A,YAL026C-A,ORF,95386-95823,95386,95823,-,not essential,YAL026C-A
DRS2,YAL026C,ORF,95630-99697,95630,99697,-,not essential,YAL026C
HRA1,YNCA0001W,ncRNA gene,99305-99868,99305,99868,+,not essential,YNCA0001W
MAK16,YAL025C,ORF,100225-101145,100225,101145,-,essential,YAL025C
LTE1,YAL024C,ORF,101565-105872,101565,105872,-,not essential,YAL024C
PMT2,YAL023C,ORF,106272-108551,106272,108551,-,not essential,YAL023C
FUN26,YAL022C,ORF,108877-110430,108877,110430,-,not essential,YAL022C
CCR4,YAL021C,ORF,110846-113359,110846,113359,-,not essential,YAL021C
ATS1,YAL020C,ORF,113614-114615,113614,114615,-,not essential,YAL020C
YAL019W-A,YAL019W-A,ORF,114250-114819,114250,114819,+,not essential,YAL019W-A
FUN30,YAL019W,ORF,114919-118314,114919,118314,+,not essential,YAL019W
LDS1,YAL018C,ORF,118564-119541,118564,119541,-,not essential,YAL018C
PSK1,YAL017W,ORF,120225-124295,120225,124295,+,not essential,YAL017W
YAL016C-B,YAL016C-B,ORF,124307-124492,124307,124492,-,not essential,YAL016C-B
ARS107,ARS107,ARS,124349-124597,124349,124597,0,not essential,ARS107
YAL016C-A,YAL016C-A,ORF,124755-125069,124755,125069,-,not essential,YAL016C-A
TPD3,YAL016W,ORF,124879-126786,124879,126786,+,not essential,YAL016W
NTG1,YAL015C,ORF,126903-128102,126903,128102,-,not essential,YAL015C
SYN8,YAL014C,ORF,128252-129019,128252,129019,-,not essential,YAL014C
DEP1,YAL013W,ORF,129270-130487,129270,130487,+,not essential,YAL013W
CYS3,YAL012W,ORF,130799-131983,130799,131983,+,not essential,YAL012W
SWC3,YAL011W,ORF,132199-134076,132199,134076,+,not essential,YAL011W
MDM10,YAL010C,ORF,134184-135665,134184,135665,-,not essential,YAL010C
SPO7,YAL009W,ORF,135854-136633,135854,136633,+,not essential,YAL009W
FUN14,YAL008W,ORF,136914-137510,136914,137510,+,not essential,YAL008W
ERP2,YAL007C,ORF,137698-138345,137698,138345,-,not essential,YAL007C
YALCdelta2,YALCdelta2,long terminal repeat,138831-138992,138831,138992,-,not essential,YALCdelta2
TRN1,YNCA0002W,tRNA gene,139152-139254,139152,139254,+,not essential,YNCA0002W
SSA1,YAL005C,ORF,139503-141431,139503,141431,-,not essential,YAL005C
YAL004W,YAL004W,ORF,140760-141407,140760,141407,+,not essential,YAL004W
EFB1,YAL003W,ORF,142174-143160,142174,143160,+,essential,YAL003W
SNR18,YNCA0003W,snoRNA gene,142367-142468,142367,142468,+,not essential,YNCA0003W
VPS8,YAL002W,ORF,143707-147531,143707,147531,+,not essential,YAL002W
ARS108,ARS108,ARS,147398-147717,147398,147717,0,not essential,ARS108
TFC3,YAL001C,ORF,147594-151166,147594,151166,-,essential,YAL001C
CEN1,CEN1,centromere,151465-151582,151465,151582,+,not essential,CEN1
NUP60,YAR002W,ORF,152257-153876,152257,153876,+,not essential,YAR002W
ERP1,YAR002C-A,ORF,154065-154724,154065,154724,-,not essential,YAR002C-A
SWD1,YAR003W,ORF,155005-156285,155005,156285,+,not essential,YAR003W
RFA1,YAR007C,ORF,156754-158619,156754,158619,-,essential,YAR007C
SEN34,YAR008W,ORF,158966-159793,158966,159793,+,essential,YAR008W
ARS101,ARS109,ARS,159907-160127,159907,160127,0,not essential,ARS109
YARCdelta3,YARCdelta3,long terminal repeat,160105-160237,160105,160237,-,not essential,YARCdelta3
YARCdelta4,YARCdelta4,long terminal repeat,160238-160574,160238,160574,-,not essential,YARCdelta4
YARCTy1-1,YARCTy1-1,LTR retrotransposon,160238-166162,160238,166162,-,not essential,YARCTy1-1
YAR009C,YAR009C,transposable element gene,160597-164187,160597,164187,-,not essential,YAR009C
YAR010C,YAR010C,transposable element gene,164544-165866,164544,165866,-,not essential,YAR010C
YARCdelta5,YARCdelta5,long terminal repeat,165826-166162,165826,166162,-,not essential,YARCdelta5
TGA1,YNCA0004W,tRNA gene,166267-166339,166267,166339,+,not essential,YNCA0004W
BUD14,YAR014C,ORF,166742-168871,166742,168871,-,not essential,YAR014C
ADE1,YAR015W,ORF,169375-170295,169375,170295,+,not essential,YAR015W
KIN3,YAR018C,ORF,170396-171703,170396,171703,-,not essential,YAR018C
CDC15,YAR019C,ORF,172211-175135,172211,175135,-,essential,YAR019C
YAR019W-A,YAR019W-A,ORF,174998-175330,174998,175330,+,not essential,YAR019W-A
ARS110,ARS110,ARS,176157-176404,176157,176404,0,not essential,ARS110
PAU7,YAR020C,ORF,176856-177023,176856,177023,-,not essential,YAR020C
YAR023C,YAR023C,ORF,179281-179820,179281,179820,-,not essential,YAR023C
SUP56,YNCA0005W,tRNA gene,181141-181254,181141,181254,+,not essential,YNCA0005W
YNCA0006C,YNCA0006C,tRNA gene,182522-182603,182522,182603,-,not essential,YNCA0006C
YARWsigma1,YARWsigma1,long terminal repeat,182620-182959,182620,182959,+,not essential,YARWsigma1
YARWdelta6,YARWdelta6,long terminal repeat,183142-183474,183142,183474,+,not essential,YARWdelta6
UIP3,YAR027W,ORF,183770-184477,183770,184477,+,not essential,YAR027W
YAR028W,YAR028W,ORF,184892-185596,184892,185596,+,not essential,YAR028W
YAR029W,YAR029W,ORF,186321-186545,186321,186545,+,not essential,YAR029W
YAR030C,YAR030C,ORF,186512-186853,186512,186853,-,not essential,YAR030C
PRM9,YAR031W,ORF,186836-187732,186836,187732,+,not essential,YAR031W
MST28,YAR033W,ORF,188107-188811,188107,188811,+,not essential,YAR033W
YARWdelta7,YARWdelta7,long terminal repeat,189426-189757,189426,189757,+,not essential,YARWdelta7
YAT1,YAR035W,ORF,190193-192256,190193,192256,+,not essential,YAR035W
YAR035C-A,YAR035C-A,ORF,192337-192417,192337,192417,-,not essential,YAR035C-A
SWH1,YAR042W,ORF,192619-196185,192619,196185,+,not essential,YAR042W
YAR047C,YAR047C,ORF,201467-201787,201467,201787,-,not essential,YAR047C
FLO1,YAR050W,ORF,203403-208016,203403,208016,+,not essential,YAR050W
YAR053W,YAR053W,ORF,208367-208663,208367,208663,+,not essential,YAR053W
YARCdelta8,YARCdelta8,long terminal repeat,209448-209778,209448,209778,-,not essential,YARCdelta8
ARS111,ARS111,ARS,214888-215644,214888,215644,0,not essential,ARS111
YAR060C,YAR060C,ORF,217157-217492,217157,217492,-,not essential,YAR060C
YAR061W,YAR061W,pseudogene,218140-219145,218140,219145,+,not essential,YAR061W
YAR064W,YAR064W,ORF,220198-220497,220198,220497,+,not essential,YAR064W
YAR066W,YAR066W,ORF,221049-221660,221049,221660,+,not essential,YAR066W
YAR068W,YAR068W,ORF,222406-222891,222406,222891,+,not essential,YAR068W
ARS112,ARS112,ARS,222880-224046,222880,224046,0,not essential,ARS112
YAR069C,YAR069C,ORF,224011-224304,224011,224304,-,not essential,YAR069C
YAR070C,YAR070C,ORF,224563-224862,224563,224862,-,not essential,YAR070C
PHO11,YAR071W,ORF,225460-226863,225460,226863,+,not essential,YAR071W
IMD1,YAR073W,ORF,227742-228953,227742,228953,+,not essential,YAR073W
YAR075W,YAR075W,ORF,228844-229317,228844,229317,+,not essential,YAR075W
TEL01R,TEL01R,telomere,229411-230218,229411,230218,+,not essential,TEL01R
MAL3,MAL3,gene group,0-0,0,0,0,not essential,MAL3
TEL02L,TEL02L,telomere,1-6608,1,6608,-,not essential,TEL02L
ARS200,ARS200,ARS,40-202,40,202,0,not essential,ARS200
YBL113C,YBL113C,ORF,280-2658,280,2658,-,not essential,YBL113C
YBL113W-A,YBL113W-A,ORF,646-1128,646,1128,+,not essential,YBL113W-A
YBL112C,YBL112C,ORF,2582-2899,2582,2899,-,not essential,YBL112C
YBL111C,YBL111C,ORF,2907-5009,2907,5009,-,not essential,YBL111C
YBL109W,YBL109W,ORF,5790-6125,5790,6125,+,not essential,YBL109W
ARS201,ARS201,ARS,6498-6620,6498,6620,0,not essential,ARS201
PAU9,YBL108C-A,ORF,7605-7733,7605,7733,-,not essential,YBL108C-A
YBL108W,YBL108W,ORF,8177-8482,8177,8482,+,not essential,YBL108W
YBLWdelta1,YBLWdelta1,long terminal repeat,8848-9092,8848,9092,+,not essential,YBLWdelta1
YBLWdelta2,YBLWdelta2,long terminal repeat,9093-9424,9093,9424,+,not essential,YBLWdelta2
YBL107W-A,YBL107W-A,ORF,9268-9372,9268,9372,+,not essential,YBL107W-A
YBLWdelta3,YBLWdelta3,long terminal repeat,9425-9518,9425,9518,+,not essential,YBLWdelta3
YNCB0001W,YNCB0001W,tRNA gene,9583-9666,9583,9666,+,not essential,YNCB0001W
MIX23,YBL107C,ORF,9961-10551,9961,10551,-,not essential,YBL107C
SRO77,YBL106C,ORF,10847-13879,10847,13879,-,not essential,YBL106C
PKC1,YBL105C,ORF,14241-17696,14241,17696,-,essential,YBL105C
SEA4,YBL104C,ORF,18177-21293,18177,21293,-,not essential,YBL104C
RTG3,YBL103C,ORF,22076-23536,22076,23536,-,not essential,YBL103C
SFT2,YBL102W,ORF,24098-24745,24098,24745,+,essential,YBL102W
ECM21,YBL101C,ORF,24946-28299,24946,28299,-,not essential,YBL101C
YBL100W-C,YBL100W-C,ORF,28427-28546,28427,28546,+,not essential,YBL100W-C
ARS230,ARS230,ARS,28942-29160,28942,29160,0,not essential,ARS230
YBLWTy2-1,YBLWTy2-1,LTR retrotransposon,29644-35602,29644,35602,+,not essential,YBLWTy2-1
YBLWdelta4,YBLWdelta4,long terminal repeat,29644-29975,29644,29975,+,not essential,YBLWdelta4
YBL100W-A,YBL100W-A,transposable element gene,29935-31251,29935,31251,+,not essential,YBL100W-A
YBL100W-B,YBL100W-B,transposable element gene,29935-35248,29935,35248,+,not essential,YBL100W-B
YBLWdelta5,YBLWdelta5,long terminal repeat,35271-35602,35271,35602,+,not essential,YBLWdelta5
YBLWdelta6,YBLWdelta6,long terminal repeat,35604-35796,35604,35796,+,not essential,YBLWdelta6
YBLCtau1,YBLCtau1,long terminal repeat,35851-36221,35851,36221,-,not essential,YBLCtau1
YNCB0002W,YNCB0002W,tRNA gene,36398-36488,36398,36488,+,not essential,YNCB0002W
YBL100C,YBL100C,ORF,36989-37303,36989,37303,-,not essential,YBL100C
ATP1,YBL099W,ORF,37053-38690,37053,38690,+,not essential,YBL099W
BNA4,YBL098W,ORF,39145-40527,39145,40527,+,not essential,YBL098W
BRN1,YBL097W,ORF,40831-43095,40831,43095,+,essential,YBL097W
YBL096C,YBL096C,ORF,43174-43482,43174,43482,-,not essential,YBL096C
MRX3,YBL095W,ORF,43277-44089,43277,44089,+,not essential,YBL095W
YBL094C,YBL094C,ORF,43765-44097,43765,44097,-,not essential,YBL094C
ROX3,YBL093C,ORF,44256-44918,44256,44918,-,not essential,YBL093C
RPL32,YBL092W,ORF,45978-46370,45978,46370,+,essential,YBL092W
SCS22,YBL091C-A,ORF,46565-47180,46565,47180,-,not essential,YBL091C-A
MAP2,YBL091C,ORF,47363-48628,47363,48628,-,not essential,YBL091C
MRP21,YBL090W,ORF,48825-49358,48825,49358,+,not essential,YBL090W
AVT5,YBL089W,ORF,49574-50953,49574,50953,+,not essential,YBL089W
TEL1,YBL088C,ORF,51019-59382,51019,59382,-,not essential,YBL088C
RPL23A,YBL087C,ORF,59822-60739,59822,60739,-,not essential,YBL087C
YBL086C,YBL086C,ORF,61202-62602,61202,62602,-,not essential,YBL086C
ARS202,ARS202,ARS,63259-63381,63259,63381,0,not essential,ARS202
BOI1,YBL085W,ORF,63876-66818,63876,66818,+,not essential,YBL085W
CDC27,YBL084C,ORF,67169-69445,67169,69445,-,essential,YBL084C
YBL083C,YBL083C,ORF,69713-70138,69713,70138,-,not essential,YBL083C
ALG3,YBL082C,ORF,69751-71127,69751,71127,-,not essential,YBL082C
YBL081W,YBL081W,ORF,71866-72972,71866,72972,+,not essential,YBL081W
PET112,YBL080C,ORF,73070-74695,73070,74695,-,not essential,YBL080C
NUP170,YBL079W,ORF,75259-79767,75259,79767,+,not essential,YBL079W
ATG8,YBL078C,ORF,80378-80731,80378,80731,-,not essential,YBL078C
YBL077W,YBL077W,ORF,80897-81328,80897,81328,+,not essential,YBL077W
ILS1,YBL076C,ORF,81043-84261,81043,84261,-,essential,YBL076C
SSA3,YBL075C,ORF,84499-86448,84499,86448,-,not essential,YBL075C
AAR2,YBL074C,ORF,86722-87789,86722,87789,-,essential,YBL074C
YBL073W,YBL073W,ORF,87646-87957,87646,87957,+,not essential,YBL073W
SNR56,YNCB0003W,snoRNA gene,88190-88277,88190,88277,+,not essential,YNCB0003W
RPS8A,YBL072C,ORF,88523-89125,88523,89125,-,not essential,YBL072C
YBL071C-B,YBL071C-B,ORF,89458-89556,89458,89556,-,not essential,YBL071C-B
KTI11,YBL071W-A,ORF,89978-90226,89978,90226,+,not essential,YBL071W-A
YBL071C,YBL071C,ORF,90223-90531,90223,90531,-,not essential,YBL071C
YBL070C,YBL070C,ORF,90605-90925,90605,90925,-,not essential,YBL070C
AST1,YBL069W,ORF,90741-92030,90741,92030,+,not essential,YBL069W
YBL068W-A,YBL068W-A,ORF,91794-92030,91794,92030,+,not essential,YBL068W-A
PRS4,YBL068W,ORF,92414-93394,92414,93394,+,not essential,YBL068W
ARS203,ARS203,ARS,93435-93519,93435,93519,0,not essential,ARS203
UBP13,YBL067C,ORF,93639-95882,93639,95882,-,not essential,YBL067C
SEF1,YBL066C,ORF,96669-100115,96669,100115,-,not essential,YBL066C
YBL065W,YBL065W,ORF,99963-100307,99963,100307,+,not essential,YBL065W
PRX1,YBL064C,ORF,100371-101156,100371,101156,-,not essential,YBL064C
KIP1,YBL063W,ORF,101886-105221,101886,105221,+,not essential,YBL063W
YBL062W,YBL062W,ORF,105308-105688,105308,105688,+,not essential,YBL062W
SKT5,YBL061C,ORF,105316-107406,105316,107406,-,not essential,YBL061C
YEL1,YBL060W,ORF,107932-109995,107932,109995,+,not essential,YBL060W
CMC2,YBL059C-A,ORF,110125-110539,110125,110539,-,not essential,YBL059C-A
IAI11,YBL059W,ORF,110594-111244,110594,111244,+,not essential,YBL059W
SHP1,YBL058W,ORF,111437-112708,111437,112708,+,not essential,YBL058W
PTH2,YBL057C,ORF,112801-113427,112801,113427,-,not essential,YBL057C
PTC3,YBL056W,ORF,113762-115168,113762,115168,+,not essential,YBL056W
YBL055C,YBL055C,ORF,115573-116829,115573,116829,-,not essential,YBL055C
TOD6,YBL054W,ORF,117589-119166,117589,119166,+,not essential,YBL054W
YBL053W,YBL053W,ORF,119335-119709,119335,119709,+,not essential,YBL053W
SAS3,YBL052C,ORF,119379-121874,119379,121874,-,not essential,YBL052C
PIN4,YBL051C,ORF,122753-124759,122753,124759,-,not essential,YBL051C
SEC17,YBL050W,ORF,125125-126119,125125,126119,+,essential,YBL050W
MOH1,YBL049W,ORF,126828-127244,126828,127244,+,not essential,YBL049W
RRT1,YBL048W,ORF,127299-127610,127299,127610,+,not essential,YBL048W
EDE1,YBL047C,ORF,127895-132040,127895,132040,-,not essential,YBL047C
PSY4,YBL046W,ORF,132424-133749,132424,133749,+,not essential,YBL046W
COR1,YBL045C,ORF,134143-135516,134143,135516,-,not essential,YBL045C
YBL044W,YBL044W,ORF,135998-136366,135998,136366,+,not essential,YBL044W
ECM13,YBL043W,ORF,136688-137461,136688,137461,+,not essential,YBL043W
FUI1,YBL042C,ORF,138341-140260,138341,140260,-,not essential,YBL042C
PRE7,YBL041W,ORF,141247-141972,141247,141972,+,essential,YBL041W
ERD2,YBL040C,ORF,142112-142868,142112,142868,-,essential,YBL040C
MIN6,YBL039W-B,ORF,143393-143572,143393,143572,+,not essential,YBL039W-B
ARS206,ARS206,ARS,143658-143745,143658,143745,0,not essential,ARS206
URA7,YBL039C,ORF,143989-145728,143989,145728,-,not essential,YBL039C
YBL039C-A,YBL039C-A,ORF,144948-145031,144948,145031,-,not essential,YBL039C-A
MRPL16,YBL038W,ORF,146187-146885,146187,146885,+,not essential,YBL038W
APL3,YBL037W,ORF,147209-150286,147209,150286,+,not essential,YBL037W
YBL036C,YBL036C,ORF,150447-151220,150447,151220,-,not essential,YBL036C
POL12,YBL035C,ORF,151493-153610,151493,153610,-,essential,YBL035C
STU1,YBL034C,ORF,153848-158389,153848,158389,-,essential,YBL034C
RIB1,YBL033C,ORF,158656-159693,158656,159693,-,not essential,YBL033C
HEK2,YBL032W,ORF,160184-161329,160184,161329,+,not essential,YBL032W
SHE1,YBL031W,ORF,161699-162715,161699,162715,+,not essential,YBL031W
PET9,YBL030C,ORF,163041-163997,163041,163997,-,essential,YBL030C
YBL029C-A,YBL029C-A,ORF,164488-164772,164488,164772,-,not essential,YBL029C-A
YBL029W,YBL029W,ORF,166134-167264,166134,167264,+,not essential,YBL029W
YBL028C,YBL028C,ORF,167518-167838,167518,167838,-,not essential,YBL028C
RPL19B,YBL027W,ORF,168423-169376,168423,169376,+,not essential,YBL027W
ARS207,ARS207,ARS,170173-170279,170173,170279,0,not essential,ARS207
LSM2,YBL026W,ORF,170623-171038,170623,171038,+,essential,YBL026W
RRN10,YBL025W,ORF,171481-171918,171481,171918,+,not essential,YBL025W
NCL1,YBL024W,ORF,172534-174588,172534,174588,+,not essential,YBL024W
MCM2,YBL023C,ORF,174920-177526,174920,177526,-,essential,YBL023C
PIM1,YBL022C,ORF,177874-181275,177874,181275,-,not essential,YBL022C
HAP3,YBL021C,ORF,181660-182094,181660,182094,-,not essential,YBL021C
RFT1,YBL020W,ORF,182401-184125,182401,184125,+,essential,YBL020W
APN2,YBL019W,ORF,184353-185915,184353,185915,+,not essential,YBL019W
POP8,YBL018C,ORF,185998-186474,185998,186474,-,essential,YBL018C
PEP1,YBL017C,ORF,186844-191583,186844,191583,-,not essential,YBL017C
FUS3,YBL016W,ORF,192451-193512,192451,193512,+,not essential,YBL016W
ACH1,YBL015W,ORF,194122-195702,194122,195702,+,not essential,YBL015W
YBLCdelta7,YBLCdelta7,long terminal repeat,197016-197320,197016,197320,-,not essential,YBLCdelta7
YNCB0004W,YNCB0004W,tRNA gene,197494-197567,197494,197567,+,not essential,YNCB0004W
YNCB0005C,YNCB0005C,tRNA gene,197629-197699,197629,197699,-,not essential,YNCB0005C
YBLWsigma1,YBLWsigma1,long terminal repeat,197714-198054,197714,198054,+,not essential,YBLWsigma1
ARS231,ARS231,ARS,198313-198473,198313,198473,0,not essential,ARS231
RRN6,YBL014C,ORF,199064-201748,199064,201748,-,essential,YBL014C
FMT1,YBL013W,ORF,202056-203261,202056,203261,+,not essential,YBL013W
YBL012C,YBL012C,ORF,203406-203807,203406,203807,-,not essential,YBL012C
SCT1,YBL011W,ORF,203538-205817,203538,205817,+,not essential,YBL011W
LAA2,YBL010C,ORF,206107-206949,206107,206949,-,not essential,YBL010C
ALK2,YBL009W,ORF,207194-209224,207194,209224,+,not essential,YBL009W
YBL008W-A,YBL008W-A,ORF,209409-209648,209409,209648,+,not essential,YBL008W-A
HIR1,YBL008W,ORF,209653-212175,209653,212175,+,not essential,YBL008W
SLA1,YBL007C,ORF,212632-216366,212632,216366,-,not essential,YBL007C
LDB7,YBL006C,ORF,216587-217129,216587,217129,-,not essential,YBL006C
YBL006W-A,YBL006W-A,ORF,216711-216860,216711,216860,+,not essential,YBL006W-A
PDR3,YBL005W,ORF,217470-220400,217470,220400,+,not essential,YBL005W
YBLWdelta8,YBLWdelta8,long terminal repeat,220895-221036,220895,221036,+,not essential,YBLWdelta8
YBLWTy1-1,YBLWTy1-1,LTR retrotransposon,221037-226952,221037,226952,+,not essential,YBLWTy1-1
YBLWdelta9,YBLWdelta9,long terminal repeat,221037-221370,221037,221370,+,not essential,YBLWdelta9
YBL005W-A,YBL005W-A,transposable element gene,221330-222652,221330,222652,+,not essential,YBL005W-A
YBL005W-B,YBL005W-B,transposable element gene,221330-226598,221330,226598,+,not essential,YBL005W-B
YBLWdelta10,YBLWdelta10,long terminal repeat,226621-226952,226621,226952,+,not essential,YBLWdelta10
YNCB0006W,YNCB0006W,tRNA gene,227075-227156,227075,227156,+,not essential,YNCB0006W
UTP20,YBL004W,ORF,227636-235117,227636,235117,+,essential,YBL004W
HTA2,YBL003C,ORF,235394-235792,235394,235792,-,essential,YBL003C
HTB2,YBL002W,ORF,236492-236887,236492,236887,+,not essential,YBL002W
ECM15,YBL001C,ORF,237153-237467,237153,237467,-,not essential,YBL001C
ARS208,ARS208,ARS,237787-237900,237787,237900,0,not essential,ARS208
CEN2,CEN2,centromere,238207-238323,238207,238323,+,not essential,CEN2
NTH2,YBR001C,ORF,238941-241283,238941,241283,-,not essential,YBR001C
RER2,YBR002C,ORF,241708-242568,241708,242568,-,essential,YBR002C
COQ1,YBR003W,ORF,242809-244230,242809,244230,+,not essential,YBR003W
GPI18,YBR004C,ORF,244366-245667,244366,245667,-,essential,YBR004C
RCR1,YBR005W,ORF,245906-246547,245906,246547,+,not essential,YBR005W
UGA2,YBR006W,ORF,247010-248503,247010,248503,+,not essential,YBR006W
DSF2,YBR007C,ORF,248806-251016,248806,251016,-,not essential,YBR007C
FLR1,YBR008C,ORF,252563-254209,252563,254209,-,not essential,YBR008C
ARS209,ARS209,ARS,254998-255083,254998,255083,0,not essential,ARS209
HHF1,YBR009C,ORF,255373-255684,255373,255684,-,essential,YBR009C
HHT1,YBR010W,ORF,256331-256741,256331,256741,+,not essential,YBR010W
IPP1,YBR011C,ORF,257112-257975,257112,257975,-,essential,YBR011C
YBRCdelta11,YBRCdelta11,long terminal repeat,258670-258976,258670,258976,-,not essential,YBRCdelta11
YBR012C,YBR012C,ORF,259147-259566,259147,259566,-,not essential,YBR012C
YBRWdelta12,YBRWdelta12,long terminal repeat,259578-259909,259578,259909,+,not essential,YBRWdelta12
YBRWTy1-2,YBRWTy1-2,LTR retrotransposon,259578-265494,259578,265494,+,not essential,YBRWTy1-2
YBR012W-A,YBR012W-A,transposable element gene,259869-261191,259869,261191,+,not essential,YBR012W-A
YBR012W-B,YBR012W-B,transposable element gene,259869-265140,259869,265140,+,not essential,YBR012W-B
YBRWdelta13,YBRWdelta13,long terminal repeat,265163-265494,265163,265494,+,not essential,YBRWdelta13
YBR013C,YBR013C,ORF,265492-265881,265492,265881,-,not essential,YBR013C
YBRCdelta14,YBRCdelta14,long terminal repeat,266178-266256,266178,266256,-,not essential,YBRCdelta14
YNCB0007W,YNCB0007W,tRNA gene,266378-266450,266378,266450,+,not essential,YNCB0007W
GRX7,YBR014C,ORF,266725-267336,266725,267336,-,not essential,YBR014C
MNN2,YBR015C,ORF,267710-269503,267710,269503,-,not essential,YBR015C
YBR016W,YBR016W,ORF,270247-270633,270247,270633,+,not essential,YBR016W
